Location;Specializaion;Position_level;Contract_type;Work_schedule;Work_modes
Swadzim (pow. poznañski), wielkopolskie;;asystent, m³odszy specjalista (Junior);umowa zlecenie, kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Business analytics;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, ma³opolskie;Specjalizacje:AI/ML, Big Data / Data Science, IT admin, Security;dyrektor;umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:DevOps;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Gdañsk, Pomeranian;Specializations:Security;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;hybrid work
Gdañsk, Pomeranian;Specializations:Helpdesk, Security;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:DevOps;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Suchy Las (pow. poznañski), wielkopolskie;;specjalista (Mid / Regular);umowa zlecenie, kontrakt B2B;pe³ny etat;praca stacjonarna
Poznañ, Greater Poland;Specializations:IT admin;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;;m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna
Wroc³aw, dolnoœl¹skie;Specjalizacje:Frontend;specjalista (Mid / Regular);umowa o pracê, umowa zlecenie, kontrakt B2B;pe³ny etat;praca stacjonarna
Kraków, Lesser Poland;;team manager;contract of employment;full-time;hybrid work
Kraków, Lesser Poland;;trainee;contract of employment;additional / temporary;full office work
Wroc³aw, dolnoœl¹skie;Specjalizacje:Helpdesk, IT admin;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca stacjonarna
Katowice, œl¹skie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Karczew (pow. otwocki), mazowieckie;Specjalizacje:Helpdesk, IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, Masovian;;team manager;contract of employment;full-time;hybrid work
Zgierz, ³ódzkie;Specjalizacje:Helpdesk;m³odszy specjalista (Junior);umowa o pracê, umowa zlecenie;pe³ny etat;praca stacjonarna
Gdañsk, Pomeranian;Specializations:IT admin;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;hybrid work
Wroc³aw, Lower Silesia;Specializations:Architecture;specialist (Mid / Regular);contract of employment;full-time;home office work, hybrid work
Kraków, ma³opolskie;;asystent, m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna, praca zdalna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:IT admin;starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:Frontend;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, Masovian;Specializations:Full-stack;senior specialist (Senior);contract of employment, B2B contract;full-time;hybrid work
Warszawa, Masovian;Specializations:Big Data / Data Science;trainee;contract of employment;full-time;hybrid work
Warszawa, mazowieckie;;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Wroc³aw, dolnoœl¹skie;;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Katowice, œl¹skie;Specjalizacje:Security;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Ma³opole (pow. wo³omiñski), mazowieckie;;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna
zagranica;Specjalizacje:Helpdesk, IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:Project Management;kierownik / koordynator;umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Business analytics;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Backend;m³odszy specjalista (Junior);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, Lesser Poland;Specializations:System analytics;senior specialist (Senior);B2B contract;full-time;hybrid work
D¹browa Górnicza, œl¹skie;Specjalizacje:Helpdesk, IT admin;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Kraków, ma³opolskie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Wroc³aw, dolnoœl¹skie;Specjalizacje:Security;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Poznañ, wielkopolskie;Specjalizacje:QA/Testing;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, Masovian;Specializations:SAP&ERP;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Wroc³aw, dolnoœl¹skie;Specjalizacje:Frontend;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
£ódŸ, ³ódzkie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna, praca zdalna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Agile;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Blizne £aszczyñskiego (pow. warszawski zachodni), mazowieckie;;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Micha³owice (pow. krakowski), ma³opolskie;Specjalizacje:IT admin;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna
£ódŸ, £ódŸ;Specializations:Mobile;specialist (Mid / Regular);contract of employment, B2B contract;full-time;home office work, hybrid work
Jasionka (pow. rzeszowski), podkarpackie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Pruszków, mazowieckie;Specjalizacje:Helpdesk;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:Business analytics, System analytics;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna
Rzeszów, podkarpackie;Specjalizacje:Helpdesk;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Katowice, Silesian;;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;hybrid work
Warszawa, Masovian;;specialist (Mid / Regular), junior specialist (Junior);temporary staffing agreement;full-time;hybrid work
Poznañ, wielkopolskie;Specjalizacje:Helpdesk;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, Masovian;;specialist (Mid / Regular), junior specialist (Junior);temporary staffing agreement;full-time;hybrid work
Pruszcz Gdañski, pomorskie;Specjalizacje:Big Data / Data Science, Business analytics;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Katowice, œl¹skie;Specjalizacje:Business analytics;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Lubin, dolnoœl¹skie;Specjalizacje:Helpdesk, IT admin;m³odszy specjalista (Junior);umowa zlecenie, kontrakt B2B;czêœæ etatu;praca stacjonarna, praca hybrydowa
Warszawa, mazowieckie;;starszy specjalista (Senior);umowa zlecenie;pe³ny etat;praca hybrydowa
Kielce, œwiêtokrzyskie;Specjalizacje:Agile, Architecture, Product Management, Project Management;mened¿er;umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Zamoœæ, lubelskie;Specjalizacje:Helpdesk, IT admin;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:QA/Testing, Security;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Szczecin, zachodniopomorskie;Specjalizacje:IT admin;specjalista (Mid / Regular), m³odszy specjalista (Junior);kontrakt B2B;;praca stacjonarna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:IT admin;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:Architecture;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Product Management, Project Management, QA/Testing;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Frontend;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca zdalna
Warszawa, Masovian;Specializations:Business analytics;senior specialist (Senior), expert;contract of employment;full-time;hybrid work
Gdañsk, pomorskie;;ekspert;umowa zlecenie, kontrakt B2B, umowa o sta¿ / praktyki;dodatkowa / tymczasowa;praca zdalna, praca hybrydowa
Poznañ, wielkopolskie;Specjalizacje:QA/Testing;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, mazowieckie;;m³odszy specjalista (Junior);umowa o pracê, umowa zlecenie, kontrakt B2B;pe³ny etat;praca hybrydowa
Poznañ, wielkopolskie;Specjalizacje:Big Data / Data Science;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Ruda Œl¹ska, œl¹skie;Specjalizacje:Architecture;m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca hybrydowa
Ruda Œl¹ska, œl¹skie;Specjalizacje:Architecture;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Big Data / Data Science;m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca hybrydowa
£ódŸ, ³ódzkie;Specjalizacje:Architecture, Backend, Frontend, Full-stack, UX/UI;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:System analytics;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, ma³opolskie;;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca stacjonarna, praca zdalna, praca hybrydowa
Warszawa, Masovian;;specialist (Mid / Regular), junior specialist (Junior);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:DevOps, Helpdesk, IT admin, Security;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca stacjonarna
Wroc³aw, dolnoœl¹skie;Specjalizacje:Architecture;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Full-stack, QA/Testing;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
£ódŸ, £ódŸ;;specialist (Mid / Regular);contract of employment;full-time;hybrid work
£ódŸ, ³ódzkie;Specjalizacje:Business analytics;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:Product Management, Project Management;kierownik / koordynator;umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Helpdesk;specjalista (Mid / Regular);umowa o pracê, umowa zlecenie, kontrakt B2B;pe³ny etat;praca stacjonarna
Poznañ, wielkopolskie;Specjalizacje:Helpdesk;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Katowice, œl¹skie;Specjalizacje:IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Ruda Œl¹ska, œl¹skie;Specjalizacje:Architecture;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat, czêœæ etatu;praca hybrydowa
Kielce, œwiêtokrzyskie;Specjalizacje:DevOps;specjalista (Mid / Regular);umowa o pracê, umowa zlecenie, kontrakt B2B;pe³ny etat;praca stacjonarna, praca zdalna, praca hybrydowa
Pieñków (pow. nowodworski), mazowieckie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Gdañsk, pomorskie;Specjalizacje:Agile, Product Management, Project Management, System analytics;ekspert;umowa o pracê;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
BrzeŸnica (pow. dêbicki), podkarpackie;Specjalizacje:Backend;m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna
Poznañ, wielkopolskie;;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:IT admin, Project Management;kierownik / koordynator;umowa o pracê;pe³ny etat;praca hybrydowa
Ruda Œl¹ska, Silesian;Specializations:Business analytics;specialist (Mid / Regular);contract of employment;full-time;hybrid work
£ódŸ, ³ódzkie;Specjalizacje:Project Management;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa o pracê, umowa zlecenie, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, Masovian;Specializations:Backend;specialist (Mid / Regular);B2B contract;full-time;home office work
Kraków, Lesser Poland;Specializations:IT admin;specialist (Mid / Regular);B2B contract;full-time;hybrid work
Gorzów Wielkopolski, lubuskie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Wysogotowo (pow. poznañski), wielkopolskie;Specjalizacje:Embedded;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Wysogotowo (pow. poznañski), wielkopolskie;Specjalizacje:Big Data / Data Science;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:Helpdesk;m³odszy specjalista (Junior);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Toruñ, kujawsko-pomorskie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Wroc³aw, dolnoœl¹skie;;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna
Wroc³aw, Lower Silesia;Specializations:System analytics;specialist (Mid / Regular);contract of employment;full-time;home office work, hybrid work
Katowice, Silesian;;specialist (Mid / Regular), junior specialist (Junior);contract of mandate;full-time, part time;full office work
Wroc³aw, Lower Silesia;Specializations:IT admin;manager / supervisor;contract of employment;full-time;home office work, hybrid work
Wroc³aw, dolnoœl¹skie;Specjalizacje:Backend, DevOps, Frontend, Full-stack, UX/UI;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Wroc³aw, Lower Silesia;Specializations:DevOps;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Big Data / Data Science, Business analytics, System analytics;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Product Management;kierownik / koordynator;kontrakt B2B;pe³ny etat;praca hybrydowa
£ódŸ, £ódŸ;Specializations:Agile, Business analytics;junior specialist (Junior);contract of mandate;full-time;hybrid work
Gliwice, œl¹skie;;m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna
Poznañ, wielkopolskie;Specjalizacje:Helpdesk;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Poznañ, wielkopolskie;Specjalizacje:IT admin;starszy specjalista (Senior), ekspert;umowa o pracê;pe³ny etat;praca hybrydowa
Lublin, lubelskie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Elbl¹g, warmiñsko-mazurskie;Specjalizacje:DevOps, Helpdesk, IT admin, Security;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Pabianice, ³ódzkie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, Masovian;Specializations:Business analytics;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Wroc³aw, dolnoœl¹skie;;starszy specjalista (Senior), ekspert;umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Business analytics, System analytics, UX/UI;mened¿er;umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Kolbuszowa, podkarpackie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Poznañ, Greater Poland;Specializations:Big Data / Data Science;specialist (Mid / Regular);contract of employment;full-time;full office work, hybrid work
Kraków, ma³opolskie;Specjalizacje:Helpdesk;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca stacjonarna
"Mieronice (pow. jêdrzejowski; gm. Ma³ogoszcz), œwiêtokrzyskie";;m³odszy specjalista (Junior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
